Name,Date,GUID
DCI World Championship Finals,2022-08-13T00:00:00,db42dc0c-c405-4733-8512-65eac41951ae
DCI World Championship Semifinals,2022-08-12T00:00:00,0a983ffe-c840-406a-8809-876a9854cfd6
DCI World Championship Prelims,2022-08-11T00:00:00,c7dc926c-5d92-48c8-a5de-af407705b9d4
Open Class World Championship Finals,2022-08-09T00:00:00,30dbac6b-49d0-454b-95ad-0c1da05dcf41
DCI Cincinnati,2022-08-08T00:00:00,162370c8-ebbf-4dfa-bfba-61962d85480e
DCI Open Class World Championship Prelims,2022-08-08T00:00:00,6a7c0912-f5aa-4d5f-9c43-63b71fe41586
DCI Pittsburgh,2022-08-07T00:00:00,c389b0ba-7b4c-4610-a6f7-33b20b24f2b9
DCI Eastern Classic,2022-08-06T00:00:00,0de76531-85e0-422f-98ce-bcc8c9ac2d8f
DCI Eastern Illinois,2022-08-06T00:00:00,158ec433-6c01-4cef-b27e-541b4b5813ac
Shoremen Brass Classic,2022-08-06T00:00:00,6eb8b9c4-f43e-477b-9223-7183ef4a4acb
DCI Eastern Classic,2022-08-05T00:00:00,8b035e22-d80a-46ab-8501-1fc73440f163
Legends Drum Corps Open,2022-08-05T00:00:00,4c758b09-cdc2-4c98-94b0-ae6da4a32126
Tournament of Drums,2022-08-05T00:00:00,f6c1a4e6-c72d-4e7a-b2b6-92b4bd899357
DCI Glassboro,2022-08-03T00:00:00,6ac82978-1f68-44bc-bf7f-77be0ab6f11f
March On!,2022-08-03T00:00:00,e1ff7cef-49fc-4e86-8de6-fbd598af6c85
Soaring Sounds,2022-08-03T00:00:00,9dd783f6-e1f6-4596-9263-6057f9296c6a
DCI Annapolis,2022-08-02T00:00:00,49d0090d-91a8-4522-bbb3-8ef06651ff11
Drums Across the Smokies,2022-08-02T00:00:00,667ff4ec-4317-439a-91f0-c2329883a525
Spartan Thunder,2022-08-02T00:00:00,481afe08-4952-46c9-86d9-c36da3475152
Summer Music Games of Southwest Virginia,2022-08-02T00:00:00,d844d60a-205a-40d6-a704-27db7bd68b5f
DCI Huntington,2022-08-01T00:00:00,dec37a7b-c85e-4bca-b106-ab035381bdce
DCI Sun Prairie,2022-08-01T00:00:00,fbfadbbe-ce9e-48c8-9e22-ba6f8ccfbdbf
NightBEAT,2022-07-31T00:00:00,5409710a-7b0f-4d39-8f98-7bac2b79b9d6
DCI Central Illinois,2022-07-30T00:00:00,2bea9e4b-bb47-4a70-93b7-4bcd3f18c63d
DCI Southeastern Championship,2022-07-30T00:00:00,7354b707-dfd5-4521-83c9-220d3bd2c5e9
Legends Drum Corps Invitational,2022-07-30T00:00:00,2f0e5b4a-7923-4687-a9d8-222f51de30e0
Music on the Mountain,2022-07-29T00:00:00,0dfe55cf-435d-4b0b-a6fe-17c949dbe76e
The Masters of the Summer Music Games,2022-07-29T00:00:00,13deea4b-892a-4643-9bf8-5aae93b347f2
DCI Little Rock,2022-07-27T00:00:00,26ce767b-ca44-4a4a-97b6-ccc1bbfc751b
